"SiteName","GeneralizedStateNumber","VegUnite"
"Sandy",4,"BOER4,PRGL2,YUEL"
"Sandy",4,"BOER4,SPFL2,PRGL2"
"Sandy",4,"BOER4,SPFL2,YUEL"
"Sandy",4,"NA,NA,PRGL2"
"Sandy",4,"PG,PRGL2,NA"
"Sandy",4,"PRGL2,GUSA2,NA"
"Sandy",6,"ERLE,MUPO2,YUEL"
"Sandy",6,"PRGL2,ARPU9,NA"
"Sandy",6,"PRGL2,MUPO2,SPFL2"
"Sandy",6,"PRGL2,MUPO2,YUEL"
"Sandy",6,"SPFL2,ARPU9,NA"
"Sandy",6,"SPFL2,ATCA2,PRGL2"
"Sandy",6,"SPFL2,GUSA2,PRGL2"
"Sandy",6,"SPFL2,PRGL2,BOER4"
"Sandy",6,"SPFL2,PRGL2,SELE6"
"Sandy",6,"SPFL2,PRGL2,YUEL"
"Shallow sandy",1,"BOER4,PRGL2,GUSA2"
"Shallow sandy",1,"BOER4,PRGL2,NA"
"Shallow sandy",1,"BOER4,PRGL2,SPFL2"
"Shallow sandy",1,"PG,PRGL2,NA"
"Shallow sandy",1,"PRGL2,BOER4,DAPU7"
"Shallow sandy",4,"BOER4,ARPU9,YUEL"
"Shallow sandy",4,"BOER4,NA,NA"
"Shallow sandy",4,"BOER4,PRGL2,PG"
"Shallow sandy",6,"BOER4,PRGL2,SPFL2"
"Shallow sandy",6,"PRGL2,MUPO2,DAPU7"
"Shallow sandy",6,"PRGL2,SPFL2,PF"
"Shallow sandy",6,"SPFL2,GUSA2,PRGL2"
"Shallow sandy",6,"SPFL2,PRGL2,ATCA2"
"Shallow sandy",6,"SPFL2,PRGL2,NA"
"Shallow sandy",6,"SPFL2,PRGL2,YUEL"
"Tank",NA,"NA,     ,NA"
