"FID","Shape..","OBJECTID","FID_JERVeg","DOM1","DOM2","DOM3","SUM_Shape_","FID_JER_Ec","ecosite1","SUM_Shape1","Shape_Leng","Shape_Area","Dom1FG","Dom2FG","Dom3FG"
"155","Polygon","156","78","PRGL2","BOER4","YUEL","8985471.574","11","Sandy","368111095.6","32297.15951","7758775.771","shrub","PG","succulent"
"156","Polygon","157","78","PRGL2","BOER4","YUEL","8985471.574","13","Shallow sandy","25426676.89","8031.299573","1226510.491","shrub","PG","succulent"
"157","Polygon","158","79","PRGL2","FLCE","PLMU3","3200987.036","11","Sandy","368111095.6","10344.22983","3200987.036","shrub","shrub","PG"
"158","Polygon","159","80","PRGL2","GUSA2"," ","254274.3534","3","Deep sand","119701060","1231.286331","89877.02772","shrub","subshrub",NA
"159","Polygon","160","80","PRGL2","GUSA2"," ","254274.3534","11","Sandy","368111095.6","2000.576824","164397.3267","shrub","subshrub",NA
"160","Polygon","161","81","PRGL2","LATR2","FLCE","500214.3077","11","Sandy","368111095.6","4911.174387","500214.3077","shrub","shrub","shrub"
"161","Polygon","162","82","PRGL2","MUPO2","LATR2","1090007.922","1","Bottomland","35299777.56","11701.15985","393609.3321","shrub","PG","shrub"
"162","Polygon","163","82","PRGL2","MUPO2","LATR2","1090007.922","8","Loamy","15362815.09","12012.2615","696398.5803","shrub","PG","shrub"
"163","Polygon","164","83","PRGL2","PLMU3"," ","2662502.849","2","Clayey","13244532.45","11558.35724","2259589.95","shrub","PG",NA
"164","Polygon","165","83","PRGL2","PLMU3"," ","2662502.849","11","Sandy","368111095.6","11725.6025","402538.6761","shrub","PG",NA
"165","Polygon","166","84","PRGL2","PLMU3","ARPU9","130268.8802","11","Sandy","368111095.6","2222.914367","130268.8802","shrub","PG","PG"
"166","Polygon","167","85","PRGL2","PLMU3","MUPO2","147505.9077","1","Bottomland","35299777.56","2226.485519","143552.0978","shrub","PG","PG"
"167","Polygon","168","85","PRGL2","PLMU3","MUPO2","147505.9077","8","Loamy","15362815.09","464.969853","3953.809895","shrub","PG","PG"
"168","Polygon","169","86","PRGL2","PLMU3","SCBR2","7980669.164","2","Clayey","13244532.45","7188.973838","589617.5591","shrub","PG","PG"
"169","Polygon","170","86","PRGL2","PLMU3","SCBR2","7980669.164","11","Sandy","368111095.6","33566.82482","7391051.606","shrub","PG","PG"
"170","Polygon","171","87","PRGL2","PLMU3","SPAI","2179474.814","2","Clayey","13244532.45","11355.72799","745387.8781","shrub","PG","PG"
"171","Polygon","172","87","PRGL2","PLMU3","SPAI","2179474.814","11","Sandy","368111095.6","21622.10706","1434086.936","shrub","PG","PG"
"172","Polygon","173","88","PRGL2","RHMI3","SCBR2","47370.77851","11","Sandy","368111095.6","1589.990922","47370.77851","shrub","shrub","PG"
"173","Polygon","174","89","PRGL2","SCBR2"," ","418134.7967","2","Clayey","13244532.45","1943.401958","151694.599","shrub","PG",NA
"174","Polygon","175","89","PRGL2","SCBR2"," ","418134.7967","11","Sandy","368111095.6","3193.62687","266440.1976","shrub","PG",NA
"175","Polygon","176","90","PRGL2","SCBR2","ARPU9","135352.1206","11","Sandy","368111095.6","1718.942354","135352.1206","shrub","PG","PG"
"176","Polygon","177","91","PRGL2","SCBR2","PLMU3","5336197.438","2","Clayey","13244532.45","1048.650648","20656.75381","shrub","PG","PG"
"177","Polygon","178","91","PRGL2","SCBR2","PLMU3","5336197.438","11","Sandy","368111095.6","24349.44857","5315540.684","shrub","PG","PG"
"178","Polygon","179","92","PRGL2","SPFL2"," ","103282.5354","11","Sandy","368111095.6","1379.075857","103282.5354","shrub","PG",NA
"179","Polygon","180","93","PRGL2","SPFL2","GUSA2","21268255.85","11","Sandy","368111095.6","51753.91864","20868069.94","shrub","PG","subshrub"
"180","Polygon","181","93","PRGL2","SPFL2","GUSA2","21268255.85","13","Shallow sandy","25426676.89","5943.331514","400185.9083","shrub","PG","subshrub"
"181","Polygon","182","94","PRGL2","SPFL2","YUEL","10553949.99","11","Sandy","368111095.6","22965.51142","6258616.368","shrub","PG","succulent"
"182","Polygon","183","94","PRGL2","SPFL2","YUEL","10553949.99","13","Shallow sandy","25426676.89","13630.87236","4295333.619","shrub","PG","succulent"
"183","Polygon","184","95","PRGL2","YUEL","ARPU9","3571571.024","11","Sandy","368111095.6","21802.14598","3571571.024","shrub","succulent","PG"
"184","Polygon","185","96","PRGL2","YUEL","EPHEDRA","119150.2092","11","Sandy","368111095.6","1530.383719","119150.2092","shrub","succulent","succulent"
"185","Polygon","186","97","PRGL2","YUEL","ERLE","54684.60865","11","Sandy","368111095.6","890.725364","54684.60865","shrub","succulent","Inv"
"186","Polygon","187","98","PRGL2","YUEL","FLCE","1557292.909","11","Sandy","368111095.6","7924.38283","1557292.909","shrub","succulent","shrub"
"187","Polygon","188","99","PRGL2","YUEL","GUSA2","208405.5173","11","Sandy","368111095.6","3013.289178","208405.5173","shrub","succulent","subshrub"
"188","Polygon","189","100","PRGL2","YUEL","SPFL2","6825353.19","2","Clayey","13244532.45","1038.605512","20999.02709","shrub","succulent","PG"
"189","Polygon","190","100","PRGL2","YUEL","SPFL2","6825353.19","11","Sandy","368111095.6","24889.02072","6200439.607","shrub","succulent","PG"
