OBJECTID1928,ecosite1,ecosite2,ecosite3,VegUnite,GeneralizedStateNum,SiteName,FG1928,SP1915,matches
24,Deep sand,Sandy,Shallow sandy,"PRGL2,PSSC6,MUPO2",6,Deep sand,shrub,PRGL2,1
24,Deep sand,Sandy,Shallow sandy,"PRGL2,ARPU9,NA",6,Sandy,shrub,PRGL2,1
24,Deep sand,Sandy,Shallow sandy,"PRGL2,MUPO2,SPFL2",6,Sandy,shrub,PRGL2,1
24,Deep sand,Sandy,Shallow sandy,"PRGL2,MUPO2,YUEL",6,Sandy,shrub,PRGL2,1
24,Deep sand,Sandy,Shallow sandy,"PRGL2,MUPO2,DAPU7",6,Shallow sandy,shrub,PRGL2,1
24,Deep sand,Sandy,Shallow sandy,"PRGL2,SPFL2,PF",6,Shallow sandy,shrub,PRGL2,1
29,Deep sand,Shallow sandy, ,"BOER4,ARPU9,YUEL",1,Shallow sandy,PG,BOER4,1
29,Deep sand,Shallow sandy, ,"BOER4,NA,NA",1,Shallow sandy,PG,BOER4,1
29,Deep sand,Shallow sandy, ,"BOER4,PRGL2,PG",1,Shallow sandy,PG,BOER4,1
29,Deep sand,Shallow sandy, ,"BOER4,PRGL2,GUSA2",1,Shallow sandy,PG,BOER4,1
29,Deep sand,Shallow sandy, ,"BOER4,PRGL2,NA",1,Shallow sandy,PG,BOER4,1
29,Deep sand,Shallow sandy, ,"BOER4,PRGL2,SPFL2",1,Shallow sandy,PG,BOER4,1
29,Deep sand,Shallow sandy, ,"BOER4,PRGL2,NA",2,Shallow sandy,PG,BOER4,1
29,Deep sand,Shallow sandy, ,"BOER4,ARPU9,YUEL",2,Shallow sandy,PG,BOER4,1
29,Deep sand,Shallow sandy, ,"BOER4,NA,NA",2,Shallow sandy,PG,BOER4,1
29,Deep sand,Shallow sandy, ,"BOER4,PRGL2,GUSA2",2,Shallow sandy,PG,BOER4,1
29,Deep sand,Shallow sandy, ,"BOER4,PRGL2,PG",2,Shallow sandy,PG,BOER4,1
29,Deep sand,Shallow sandy, ,"BOER4,PRGL2,SPFL2",2,Shallow sandy,PG,BOER4,1
29,Deep sand,Shallow sandy, ,"BOER4,PRGL2,GUSA2",4,Shallow sandy,PG,BOER4,1
29,Deep sand,Shallow sandy, ,"BOER4,PRGL2,SPFL2",4,Shallow sandy,PG,BOER4,1
29,Deep sand,Shallow sandy, ,"BOER4,PRGL2,NA",4,Shallow sandy,PG,BOER4,1
29,Deep sand,Shallow sandy, ,"BOER4,ARPU9,YUEL",4,Shallow sandy,PG,BOER4,1
29,Deep sand,Shallow sandy, ,"BOER4,NA,NA",4,Shallow sandy,PG,BOER4,1
29,Deep sand,Shallow sandy, ,"BOER4,PRGL2,PG",4,Shallow sandy,PG,BOER4,1
29,Deep sand,Shallow sandy, ,"BOER4,PRGL2,SPFL2",6,Shallow sandy,PG,BOER4,1
31,Deep sand,Shallow sandy, ,"PRGL2,BOER4,DAPU7",1,Shallow sandy,shrub,PRGL2,1
31,Deep sand,Shallow sandy, ,"PRGL2,PSSC6,MUPO2",2,Deep sand,shrub,PRGL2,1
31,Deep sand,Shallow sandy, ,"PRGL2,BOER4,DAPU7",2,Shallow sandy,shrub,PRGL2,1
31,Deep sand,Shallow sandy, ,"PRGL2,MUPO2,DAPU7",2,Shallow sandy,shrub,PRGL2,1
31,Deep sand,Shallow sandy, ,"PRGL2,SPFL2,PF",2,Shallow sandy,shrub,PRGL2,1
31,Deep sand,Shallow sandy, ,"PRGL2,BOER4,DAPU7",4,Shallow sandy,shrub,PRGL2,1
31,Deep sand,Shallow sandy, ,"PRGL2,MUPO2,DAPU7",4,Shallow sandy,shrub,PRGL2,1
31,Deep sand,Shallow sandy, ,"PRGL2,SPFL2,PF",4,Shallow sandy,shrub,PRGL2,1
31,Deep sand,Shallow sandy, ,"PRGL2,PSSC6,MUPO2",5,Deep sand,shrub,PRGL2,1
31,Deep sand,Shallow sandy, ,"PRGL2,PSSC6,MUPO2",6,Deep sand,shrub,PRGL2,1
31,Deep sand,Shallow sandy, ,"PRGL2,MUPO2,DAPU7",6,Shallow sandy,shrub,PRGL2,1
31,Deep sand,Shallow sandy, ,"PRGL2,SPFL2,PF",6,Shallow sandy,shrub,PRGL2,1
35,Deep sand,Shallow sandy,Shallow sandy,"PRGL2,BOER4,DAPU7",1,Shallow sandy,shrub,PRGL2,1
35,Deep sand,Shallow sandy,Shallow sandy,"PRGL2,PSSC6,MUPO2",2,Deep sand,shrub,PRGL2,1
35,Deep sand,Shallow sandy,Shallow sandy,"PRGL2,BOER4,DAPU7",2,Shallow sandy,shrub,PRGL2,1
35,Deep sand,Shallow sandy,Shallow sandy,"PRGL2,MUPO2,DAPU7",2,Shallow sandy,shrub,PRGL2,1
35,Deep sand,Shallow sandy,Shallow sandy,"PRGL2,SPFL2,PF",2,Shallow sandy,shrub,PRGL2,1
35,Deep sand,Shallow sandy,Shallow sandy,"PRGL2,BOER4,DAPU7",4,Shallow sandy,shrub,PRGL2,1
35,Deep sand,Shallow sandy,Shallow sandy,"PRGL2,MUPO2,DAPU7",4,Shallow sandy,shrub,PRGL2,1
35,Deep sand,Shallow sandy,Shallow sandy,"PRGL2,SPFL2,PF",4,Shallow sandy,shrub,PRGL2,1
35,Deep sand,Shallow sandy,Shallow sandy,"PRGL2,PSSC6,MUPO2",5,Deep sand,shrub,PRGL2,1
35,Deep sand,Shallow sandy,Shallow sandy,"PRGL2,PSSC6,MUPO2",6,Deep sand,shrub,PRGL2,1
35,Deep sand,Shallow sandy,Shallow sandy,"PRGL2,MUPO2,DAPU7",6,Shallow sandy,shrub,PRGL2,1
35,Deep sand,Shallow sandy,Shallow sandy,"PRGL2,SPFL2,PF",6,Shallow sandy,shrub,PRGL2,1
36,Draw,No ecosite, ,SCBR2,2,Draw,PG,SCBR2,1
38,Draw,No ecosite, ,"PRGL2,SPORO,NA",2,Draw,shrub,PRGL2,1
38,Draw,No ecosite, ,"PRGL2,PLMU3",4,Draw,shrub,PRGL2,1
38,Draw,No ecosite, ,"PRGL2,SPORO,NA",4,Draw,shrub,PRGL2,1
38,Draw,No ecosite, ,"PRGL2,SCBR2",6,Draw,shrub,PRGL2,1
38,Draw,No ecosite, ,"PRGL2,SPORO,NA",7,Draw,shrub,PRGL2,1
40,Draw,No ecosite, ,"PLMU3,SPAI,BOGR2",1,Draw,PG,PLMU3,1
40,Draw,No ecosite, ,"PLMU3,FLCE,MUAR",4,Draw,PG,PLMU3,1
40,Draw,No ecosite, ,"PLMU3,FLCE,MUAR",6,Draw,PG,PLMU3,1
40,Draw,No ecosite, ,"PLMU3,FLCE,MUAR",7,Draw,PG,PLMU3,1
42,Gravelly, , ,"LATR2,,NA",0,Gravelly,shrub,LATR2,1
42,Gravelly, , ,"LATR2,BOER4,PAIN2",0,Gravelly,shrub,LATR2,1
