"FID","Shape..","OBJECTID","FID_JERVeg","VegUnite","ZST_DOM","ZND_DOM","ZRD_DOM","SUM_Shape_","FID_JER_Ec","ecosite1","SUM_Shape1","Shape_Leng","Shape_Area","FGUnite","Dom1FG","Dom2FG","Dom3FG"
"97","Polygon","98","49","LATR2,FLCE,GUSA2","LATR2","FLCE","GUSA2","6012665.439","5","Gravelly","53527326.23","7734.499513","3246417.145","shrub,shrub,subshrub","shrub","shrub","subshrub"
"98","Polygon","99","49","LATR2,FLCE,GUSA2","LATR2","FLCE","GUSA2","6012665.439","8","Loamy","15362815.09","10259.21951","697242.7771","shrub,shrub,subshrub","shrub","shrub","subshrub"
"99","Polygon","100","49","LATR2,FLCE,GUSA2","LATR2","FLCE","GUSA2","6012665.439","11","Sandy","368111095.6","1536.1926","129322.5287","shrub,shrub,subshrub","shrub","shrub","subshrub"
"100","Polygon","101","50","LATR2,FLCE,PRGL2","LATR2","FLCE","PRGL2","10935274.86","1","Bottomland","35299777.56","38779.71305","1650961.489","shrub,shrub,shrub","shrub","shrub","shrub"
"101","Polygon","102","50","LATR2,FLCE,PRGL2","LATR2","FLCE","PRGL2","10935274.86","3","Deep sand","119701060","6541.648452","583091.4532","shrub,shrub,shrub","shrub","shrub","shrub"
"102","Polygon","103","50","LATR2,FLCE,PRGL2","LATR2","FLCE","PRGL2","10935274.86","4","Draw","6092080.685","3252.169698","105380.2395","shrub,shrub,shrub","shrub","shrub","shrub"
"103","Polygon","104","50","LATR2,FLCE,PRGL2","LATR2","FLCE","PRGL2","10935274.86","5","Gravelly","53527326.23","17698.39977","2465526.252","shrub,shrub,shrub","shrub","shrub","shrub"
"104","Polygon","105","50","LATR2,FLCE,PRGL2","LATR2","FLCE","PRGL2","10935274.86","8","Loamy","15362815.09","24465.3221","705486.1233","shrub,shrub,shrub","shrub","shrub","shrub"
"105","Polygon","106","50","LATR2,FLCE,PRGL2","LATR2","FLCE","PRGL2","10935274.86","11","Sandy","368111095.6","22973.29523","5424829.261","shrub,shrub,shrub","shrub","shrub","shrub"
"106","Polygon","107","51","LATR2,FLCE,SCBR2","LATR2","FLCE","SCBR2","1473786.837","3","Deep sand","119701060","12574.13755","656249.9421","shrub,shrub,PG","shrub","shrub","PG"
"107","Polygon","108","51","LATR2,FLCE,SCBR2","LATR2","FLCE","SCBR2","1473786.837","4","Draw","6092080.685","1758.613623","40185.69051","shrub,shrub,PG","shrub","shrub","PG"
"108","Polygon","109","51","LATR2,FLCE,SCBR2","LATR2","FLCE","SCBR2","1473786.837","5","Gravelly","53527326.23","4423.00216","425903.3016","shrub,shrub,PG","shrub","shrub","PG"
"109","Polygon","110","51","LATR2,FLCE,SCBR2","LATR2","FLCE","SCBR2","1473786.837","7","Limestone hills","125520706.8","5357.729745","351447.8748","shrub,shrub,PG","shrub","shrub","PG"
"110","Polygon","111","52","LATR2,GUSA2,ARFI2","LATR2","GUSA2","ARFI2","160021.231","11","Sandy","368111095.6","2244.516463","160021.231","shrub,subshrub,shrub","shrub","subshrub","shrub"
"111","Polygon","112","53","LATR2,PRGL2,BOER4","LATR2","PRGL2","BOER4","22972654.81","5","Gravelly","53527326.23","21889.2006","4126858.974","shrub,shrub,PG","shrub","shrub","PG"
"112","Polygon","113","53","LATR2,PRGL2,BOER4","LATR2","PRGL2","BOER4","22972654.81","9","Rock land","738872.7837","5531.584746","382605.837","shrub,shrub,PG","shrub","shrub","PG"
"113","Polygon","114","53","LATR2,PRGL2,BOER4","LATR2","PRGL2","BOER4","22972654.81","11","Sandy","368111095.6","2182.570997","99245.697","shrub,shrub,PG","shrub","shrub","PG"
"114","Polygon","115","54","PLMU3,FLCE,LATR2","PLMU3","FLCE","LATR2","1126642.986","1","Bottomland","35299777.56","7667.576146","480036.0278","PG,shrub,shrub","PG","shrub","shrub"
"115","Polygon","116","54","PLMU3,FLCE,LATR2","PLMU3","FLCE","LATR2","1126642.986","5","Gravelly","53527326.23","5004.147051","368936.36","PG,shrub,shrub","PG","shrub","shrub"
"116","Polygon","117","54","PLMU3,FLCE,LATR2","PLMU3","FLCE","LATR2","1126642.986","8","Loamy","15362815.09","222.400939","1032.328286","PG,shrub,shrub","PG","shrub","shrub"
"117","Polygon","118","54","PLMU3,FLCE,LATR2","PLMU3","FLCE","LATR2","1126642.986","11","Sandy","368111095.6","4192.790407","276638.2674","PG,shrub,shrub","PG","shrub","shrub"
"118","Polygon","119","55","PLMU3,SCBR2,","PLMU3","SCBR2","","15054596.24","2","Clayey","13244532.45","25082.90748","4237429.293","PG,PG","PG","PG",NA
"119","Polygon","120","55","PLMU3,SCBR2,","PLMU3","SCBR2","","15054596.24","11","Sandy","368111095.6","66627.69816","10817166.95","PG,PG","PG","PG",NA
"120","Polygon","121","56","PLMU3,SCBR2,MUAR","PLMU3","SCBR2","MUAR","1867215.958","2","Clayey","13244532.45","771.578478","28638.94169","PG,PG,PG","PG","PG","PG"
